tail,f1_macro_medio,acc_medio,uuc_acc_medio,inner_medio,outer_medio,halfpoint_medio
0,0.4751251650806062,0.6460392156862745,0.9785714285714286,0.2383399209486166,0.6460392156862745,0.23305006587615282
100,0.4902685327156992,0.6415686274509804,0.9642857142857142,0.24426877470355732,0.6415686274509804,0.23098449376710245
200,0.49053029449052643,0.6537254901960784,0.9785714285714284,0.25494071146245056,0.6537254901960784,0.2499239890544238
300,0.5287779192892481,0.6613333333333333,0.9571428571428571,0.2972332015810277,0.6613333333333333,0.2837527110570589
400,0.47939427582296246,0.6612549019607843,0.9785714285714286,0.2707509881422925,0.6612549019607843,0.2643741765480896
500,0.49666591835605917,0.6691764705882353,0.9928571428571429,0.2711462450592886,0.6691764705882353,0.2686100131752306
600,0.5253207453152976,0.6574117647058824,0.95,0.2984189723320158,0.6574117647058824,0.28322965440356745
700,0.5194084893311339,0.6614117647058824,0.9785714285714284,0.2715415019762846,0.6614117647058824,0.26451809060504716
800,0.5395789233161172,0.6771764705882354,0.9785714285714286,0.30711462450592886,0.6771764705882354,0.29927536231884055
900,0.5249289958888134,0.6695686274509803,0.9785714285714286,0.2909090909090909,0.6695686274509803,0.28347826086956524
1000,0.5386110764262628,0.6494901960784314,0.9142857142857143,0.32450592885375495,0.6494901960784314,0.2937435897435897
