tail,accuracy,UUC Accuracy,inner metric,outer metric,F1 macro,halfpoint
20.0,0.6132,0.41011451848435937,0.9912719988553441,0.61535,0.730137122371832,0.4724495362793235
220.0,0.8859,0.8393666897240796,0.9725282586922307,0.88765,0.8725816896276914,0.748650732459522
420.0,0.91915,0.9023902851433403,0.950350550865646,0.92035,0.9012930293014352,0.8042135851798039
620.0,0.9275,0.9265237107063254,0.9293174989268851,0.92845,0.9074570884494956,0.8174952800503461
820.0,0.93125,0.9416647452155869,0.9118614966375733,0.932,0.9095049835881546,0.822534847702633
1020.0,0.9295,0.9520405810468066,0.8875375590213193,0.93005,0.904857362532939,0.8147904899513989
1220.0,0.92725,0.9600338175390054,0.8662183431106024,0.9278,0.8996684740188985,0.8062325209748302
1420.0,0.9257,0.9661824609945431,0.8503362426670482,0.9261,0.8959099261781259,0.7999730784762418
1620.0,0.9226,0.9711013757589732,0.8323079124338246,0.92285,0.8900884602775525,0.789816700610998
1820.0,0.9191,0.975251710091461,0.8145657461725568,0.9193,0.8834758879909048,0.778689645739297
2020.0,0.9154,0.9784797479056183,0.7979682357991129,0.9156,0.8765991039687049,0.76723070573669
2220.0,0.90985,0.9805549150718623,0.7782229217341536,0.91,0.8667831498185159,0.7510356255178128
